Unnamed: 0,dialogue,utterance_id,utterance_type,utterance_text,labels,bounds
89,20230720_130703_700139,9,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI kann keine Verantwortung übernehmen. |   Das verstehe ich. Direkt dazu: Verantwortung und Gewissen sind für die Tätigkeit als Schiedsrichter nicht erforderlich. Es geht um die Einhaltung der Spielregeln. Das Einsehen eigenen Unrechts und die Übernahme von Verantwortung ist bei der Darstellung von Fakten nicht notwendig.",['Z.K6'],"[(0, 481)]"
90,20230720_130703_700139,10,user,Keine Verantwortung,['Z.K6'],"[(0, 20)]"
91,20230720_130703_700139,11,bot,"Du meinst also, dass Eine SchiriKI keine Verantwortung übernehmen kann. Das verstehe ich. Um auch noch einmal eine andere Seite zu beleuchten: Aufgrund der objektiven und nachvollziehbaren Entscheidungen der SchiriKI wird es zu weniger Diskussionen und Protesten auf dem Spielfeld kommen.","['intro_23', 'Z.K6', 'intro_54', 'z_trans_13', 'Z.P3']","[(0, 21), (21, 72), (72, 90), (90, 143), (143, 289)]"
92,20230720_141643_727159,0,user,Wie soll das umgesetzt werdne,['FAQ.G1'],"[(0, 29)]"
93,20230720_141643_727159,1,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI kann wegen technische Störungen ausfallen |   Das ist möglich. Fällt die SchiriKI aus, wird dies der ""Autoritätsperson"" innerhalb kurzer Zeit auffallen, wenn nicht sowieso bereits das System der SchiriKI über eine eingeschränkte Nutzung informiert.",['Z.K4'],"[(0, 408)]"
94,20230720_141643_727159,2,user,was ist mit menschlicher intuition und eingriff in streitfällen,['Z.K5'],"[(0, 63)]"
95,20230720_141643_727159,3,bot,"Du sagst, dass Einer SchiriKI die menschliche Intuition fehlt. Das verstehe ich. Andererseits: Eine SchiriKI kann die menschliche Erfahrung durch das Training mit Daten in Form des überwachten Lernens nutzen. Daraus entwickelt sich eine ganz eigene Art von Intuition.","['intro_27', 'Z.K5', 'intro_50', 'Z.K5-1']","[(0, 15), (15, 63), (63, 95), (95, 268)]"
96,20230720_141643_727159,4,user,wie viele kameras hat die ki,['FAQ.G1'],"[(0, 28)]"
97,20230720_141643_727159,5,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI kann keine Verantwortung übernehmen. |   Das verstehe ich. Andererseits: Verantwortung und Gewissen sind für die Tätigkeit als Schiedsrichter nicht erforderlich. Es geht um die Einhaltung der Spielregeln. Das Einsehen eigenen Unrechts und die Übernahme von Verantwortung ist bei der Darstellung von Fakten nicht notwendig.",['Z.K6'],"[(0, 482)]"
98,20230720_141643_727159,6,user,was ist wenn die ki keine klare entscheidung treffen kann,['CON_NZARG'],"[(0, 57)]"
99,20230720_141643_727159,7,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Einer SchiriKI fehlt die menschliche Intuition. |   Das ist ein gutes Argument.  Um auch noch einmal eine andere Seite zu beleuchten: Eine SchiriKI trifft konsistente regelkonforme Entscheidungen und entscheidet in ähnlichen Situationen gleich.",['Z.K5'],"[(0, 388)]"
100,20230720_141643_727159,8,user,was ist mit unberechenbaren szenarien,['Z.P3-3'],"[(0, 38)]"
101,20230720_141643_727159,9,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI kann gezielt getäuscht werden. |   Das verstehe ich. Eine SchiriKI wird ständig nachtrainiert, so dass sie auch gezielte Täuschungen schnell lernt.",['Z.K2'],"[(0, 307)]"
102,20230720_141643_727159,10,user,okay und wie läuft das trainig ab?,['FAQ.2'],"[(0, 34)]"
103,20230720_141643_727159,11,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Zum Fußball gehört die Unberechenbarkeit auch der Schiedsrichter. |   Das ist möglich. Das ist ein Widerspruch in sich, wenn man einerseits Schiedsrichter für Fehlentscheidungen beschimpft, aber andererseits den Zustand nicht verbessern will.",['Z.K8'],"[(0, 388)]"
104,20230720_125033_078868,0,user,Es könnte wenn die KI gut genug ist zu faireren Entscheidungen führen,['Z.P5'],"[(0, 69)]"
105,20230720_125033_078868,1,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI entscheidet objektiv und emotionslos. |   Das kann ich nachvollziehen. Andererseits: Da eine SchiriKI von ihrer Datengrundlage abhängig ist, ist sie entscheidend von der menschlichen Auswahl der Daten geprägt. Diese muss dafür sorgen, dass die Daten u.a. keine versteckte Diskriminierung enthalten. Die Auswahl erfolgt durch einen Mensch, womit wieder die Unberechenbarkeit bzw. Fehleranfälligkeit menschlicher Entscheidungen mit durchschwingen kann.",['Z.P2'],"[(0, 610)]"
106,20230720_125033_078868,2,user,"Da seh ich kein so großes Problem bei. Ein einzelner Schiedsrichter ist sicherlich deutlich voreingommener als eine gut trainierte KI. Natürlich muss auch da auf Diskriminierung geachtet werden, aber das ist ja vermeidbar durch trainieren an ausgewählten Beispielszenarios","['DISSENT', 'Z.P2']","[(0, 38), (38, 272)]"
107,20230720_125033_078868,3,bot,"Mit anderen Worten, Eine SchiriKI entscheidet in ähnlichen Situationen gleich. Das verstehe ich. Direkt dazu: Man kann die Schuld bei einem verlorenen Spiel nicht mehr auf den Schiri schieben.","['intro_32', 'Z.P1', 'intro_51', 'Z.P1-2']","[(0, 20), (20, 79), (79, 110), (110, 193)]"
108,20230720_131400_684188,0,user,Der Bot kann genauere Entscheidungen treffen die ein menschliches Auge nicht sehen kann,['Z.P8'],"[(0, 88)]"
109,20230720_131400_684188,1,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI kann Entscheidungen durch Bilder erklären. |   Das mag sein. Diese Überprüfbarkeit und Nachvollziehbarkeit stößt allerdings an ihre Grenzen, sobald es nur um subtile Regelverstöße geht.",['Z.P7'],"[(0, 345)]"
110,20230720_134503_835936,0,user,Eine KI kann nicht von den Spielern körperlich verletzt werden.,['Z.P4'],"[(0, 63)]"
111,20230720_134503_835936,1,bot,"Kurz zusammengefasst, Eine SchiriKI kann nicht eingeschüchtert werden. Das verstehe ich. Direkt dazu: Auch menschliche Schiedsrichter lassen sich nicht einschüchtern und sind es gewohnt, wenn erhitzte Spieler ihre Entscheidung angreifen.","['intro_24', 'Z.P4', 'intro_51', 'Z.P4-1']","[(0, 22), (22, 71), (71, 102), (102, 238)]"
112,20230720_134503_835936,2,user,"Aber den menschlichen Schiedsrichter kann man KO schlagen, dann wird ein neuer eingesetzt",['Z.P4'],"[(0, 89)]"
113,20230720_134503_835936,3,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Keines der genannten Argumente trifft zu. |    Wir werden dein Argument evaluieren und in einer neuen Version berücksichtigen. Bitte fahre mit deinem nächsten Argument fort.",['NoneOfTheAbove'],"[(0, 319)]"
114,20230720_134503_835936,4,user,Sie kann an mehreren Orten gleichzeitig sein. In der WM werden immer andere Schiris eingesetzt. Mit der KI würde in jedem Spiel dieselbe KI pfeiden,"['Z.P9', 'Z.P1']","[(0, 46), (46, 147)]"
115,20230720_134503_835936,5,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI entscheidet in ähnlichen Situationen gleich. |   Das verstehe ich. Andererseits: Man kann die Schuld bei einem verlorenen Spiel nicht mehr auf den Schiri schieben.",['Z.P1'],"[(0, 323)]"
116,20230720_134503_835936,6,user,Wer verliert hat es nicht verdient zu gewinnen,['OTHER'],"[(0, 46)]"
117,20230720_134503_835936,7,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Keines der genannten Argumente trifft zu. |    Wir werden dein Argument evaluieren und in einer neuen Version berücksichtigen. Bitte fahre mit deinem nächsten Argument fort.",['NoneOfTheAbove'],"[(0, 319)]"
118,20230720_134503_835936,8,user,Die KI ist billiger,['Z.P9'],"[(0, 19)]"
119,20230720_134503_835936,9,bot,"Du argumentierst, dass Eine SchiriKI kostengünstiger als ein Schiedsrichtergespann ist. Das verstehe ich. Von einer einmaligen Investition kann nicht gesprochen werden. Für die SchiriKI müssen Supportdienstleistungen in Anspruch genommen werden, bei denen laufende Kosten entstehen.","['intro_26', 'Z.P9', 'intro_1', 'Z.P9-2']","[(0, 23), (23, 88), (88, 106), (106, 283)]"
120,20230720_134503_835936,10,user,"Trotz allem sollte der menschliche Schiri bleiben. Baut er Scheiße, kann er ja gefeuert werden. Macht die KI einen Fehler, weiß man nicht wo dieser herkommt und wie man ihn korrigiert",['Z.K7'],"[(0, 183)]"
121,20230720_134503_835936,11,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Ich finde deine Argumentation nicht überzeugend. |   Schade, dass dich meine Argumentation nicht überzeugt.  Aber zu beachten ist: Eine SchiriKI funktioniert nicht bei schlechter Sicht. Sie kann durch Nebelkerzen und ähnliches verwirrt werden, dann müsste das Spiel unterbrochen oder sogar abgebrochen werden.",['OTHER'],"[(0, 454)]"
122,20230720_133718_143374,0,user,"Ich glaube, das wäre insgesamt am fairsten.",['OTHER'],"[(0, 43)]"
123,20230720_133718_143374,1,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI entscheidet in ähnlichen Situationen gleich. |   Das kann ich nachvollziehen. Direkt dazu: Man kann die Schuld bei einem verlorenen Spiel nicht mehr auf den Schiri schieben.",['Z.P1'],"[(0, 333)]"
124,20230720_133718_143374,2,user,Genau!,['CONSENT'],"[(0, 6)]"
125,20230720_133718_143374,3,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI entscheidet objektiv und emotionslos. |   Das kann ich nachvollziehen. Andererseits: Da eine SchiriKI von ihrer Datengrundlage abhängig ist, ist sie entscheidend von der menschlichen Auswahl der Daten geprägt. Diese muss dafür sorgen, dass die Daten u.a. keine versteckte Diskriminierung enthalten. Die Auswahl erfolgt durch einen Mensch, womit wieder die Unberechenbarkeit bzw. Fehleranfälligkeit menschlicher Entscheidungen mit durchschwingen kann.",['Z.P2'],"[(0, 610)]"
126,20230720_133718_143374,4,user,"Diskriminierung sollte bei Fußball aber nur eine geringe Rolle spielen, es geht ja um Tatsachen Entscheidungen.",['Z.K1-1-1-1'],"[(0, 111)]"
127,20230720_133718_143374,5,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI entscheidet objektiv und emotionslos. |   Das ist ein gutes Argument. Direkt dazu: Zum Fußball gehört die partielle Unberechenbarkeit von Schiri-Entscheidungen. Durch eine SchiriKI wird das Spiel verändert.",['Z.P2'],"[(0, 367)]"
128,20230720_133718_143374,6,user,"Aber zum positiven, da es dann ausgeglichenere Entscheidungen gäbe",['Z.P1'],"[(0, 66)]"
129,20230720_133718_143374,7,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | falsche Entscheidungen sollten so gut es geht ausgemerzt werden. |   Ich denke damit liegst du richtig.  Ansprechen möchte ich noch: Eine SchiriKI funktioniert nicht bei schlechter Sicht. Sie kann durch Nebelkerzen und ähnliches verwirrt werden, dann müsste das Spiel unterbrochen oder sogar abgebrochen werden.",['Z.P2-1-1'],"[(0, 456)]"
130,20230720_133718_143374,8,user,Dann sollte aber eher was gegen Nebel Kerzen gemacht werden,['CON_NZARG'],"[(0, 60)]"
131,20230720_133718_143374,9,bot,"Du meinst also, dass bei schlechter Sicht Spiele ohnehin unterbruchen werden. Dem würde ich zustimmen. Aber zu beachten ist: Eine SchiriKI kann aufgrund technischer Ausfälle oder Störungen fehlschlagen und falsche Entscheidungen treffen.","['intro_23', 'Z.K3-1', 'intro_4', 'z_trans_12', 'Z.K4']","[(0, 21), (21, 78), (78, 103), (103, 125), (125, 238)]"
132,20230720_133718_143374,10,user,Dann kann es ja Immernoch einen Menschen als Backup geben,['OTHER'],"[(0, 58)]"
133,20230720_133718_143374,11,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Ein Ausfall der SchiriKI wird schnell auffallen. |   Da gebe ich dir recht.  Aber hast Du schon einmal daran gedacht: Zum Fußball gehört die partielle Unberechenbarkeit von Schiri-Entscheidungen. Durch eine SchiriKI wird das Spiel verändert und die Emotionalität reduziert, die zum Reiz des Spieles beiträgt.",['Z.K4-1'],"[(0, 452)]"
134,20230720_133718_143374,12,user,Aber das wird durch bessere Entscheidungen ausgeglichen,['Z.P1'],"[(0, 56)]"
135,20230720_133718_143374,13,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Schiris für Fehlentschiedungen zu kritisieren ohne Verbesserung anzustreben ist widersprüchlich. |   Das verstehe ich. Menschen sind nun mal widersprüchlich.",['Z.K8.1'],"[(0, 303)]"
136,20230720_133718_143374,14,user,Deswegen lieber SchiriKI,['OTHER'],"[(0, 24)]"
137,20230720_133718_143374,15,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Ich finde deine Argumentation nicht überzeugend. |   Es ist schade, dass du meine Argumente nicht überzeugend findest.  Ansprechen möchte ich noch: Eine SchiriKI funktioniert nicht gut genug, insbesondere bei subtilen Variationen eines Regelverstoßes.",['OTHER'],"[(0, 395)]"
138,20230720_133718_143374,16,user,Dann muss die eben noch entwickelt werden,['Z.K1-1'],"[(0, 42)]"
139,20230720_133718_143374,17,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Die SchiriKI wird ständig trainiert und verbessert. |   Das verstehe ich. Da die SchiriKI anhand von Datensätzen trainiert wird, können ihr bei fehlerhaften Daten auch entsprechende Fehler antrainiert werden. Entsprechend muss gewährleistet werden, dass die Daten fehlerfrei sind, sonst wird die SchiriKI am Ende nicht weniger Fehler als ein menschlicher Schiedsrichter machen.",['Z.K1-1'],"[(0, 523)]"
140,20230720_133718_143374,18,user,Stimmt,['CONSENT'],"[(0, 6)]"
141,20230720_133718_143374,19,bot,"Du meinst also, dass Eine SchiriKI in ähnlichen Situationen gleich entscheidet. Das ist ein gutes Argument. Direkt dazu: Die SchiriKI könnte genauso wie ein menschlicher Schiedsrichter zum Sündenbock werden. Dies kann dem Ansehen und der Vertrauenswürdigkeit von Künstlicher Intelligenz bzw. Systemen Künstlicher Intelligenz langfristig Schaden zufügen.","['intro_23', 'Z.P1', 'intro_47', 'Z.P1-3']","[(0, 21), (21, 80), (80, 121), (121, 354)]"
142,20230720_170959_882071,0,user,Ich schaue öfter Bundesliga und bemerke leider oft dass viele Schiedsrichter absurde Entscheidungen treffen. Manchmal pfeifen die Schiedsrichter bei jeder Kleinigkeit und zerstören somit den Spielfluss. Eine KI würde nur rational handeln und sich nicht von Emotionen leiten lassen,['Z.P2'],"[(0, 280)]"
143,20230720_170959_882071,1,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI entscheidet objektiv und emotionslos. |   Das ist ein gutes Argument. Direkt dazu: Da eine SchiriKI von ihrer Datengrundlage abhängig ist, ist sie entscheidend von der menschlichen Auswahl der Daten geprägt. Diese muss dafür sorgen, dass die Daten u.a. keine versteckte Diskriminierung enthalten. Die Auswahl erfolgt durch einen Mensch, womit wieder die Unberechenbarkeit bzw. Fehleranfälligkeit menschlicher Entscheidungen mit durchschwingen kann.",['Z.P2'],"[(0, 608)]"
144,20230720_170959_882071,2,user,Es gibt kein perfektes System doch eine KI ist dem schon Nahe.,['Z.P3-3-1'],"[(0, 62)]"
145,20230720_170959_882071,3,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI kann nicht eingeschüchtert werden. |   Das kann ich nachvollziehen. Andererseits: Auch menschliche Schiedsrichter lassen sich nicht einschüchtern und sind es gewohnt, wenn erhitzte Spieler ihre Entscheidung angreifen.",['Z.P4'],"[(0, 377)]"
146,20230720_170959_882071,4,user,Eine KI ist viel schneller in der Lage Regelbrüche zu erkennen.,['Z.P6'],"[(0, 63)]"
147,20230720_170959_882071,5,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI bemerkt alle Regelverstöße, auch ohne Ballkontakt. |   Das ist möglich. Auch ein menschlicher Schiedsrichter ist nicht völlig auf sich allein gestellt. Ihm stehen unterstützende Schiedsrichter und Technologien zur Seite.",['Z.P8'],"[(0, 380)]"
148,20230720_141536_151006,0,user,Die Meinung wäre objektiv und lässt sich nicht beeinflussen.,['Z.P2'],"[(0, 60)]"
149,20230720_141536_151006,1,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI entscheidet objektiv und emotionslos. |   Das verstehe ich. Direkt dazu: Da eine SchiriKI von ihrer Datengrundlage abhängig ist, ist sie entscheidend von der menschlichen Auswahl der Daten geprägt. Diese muss dafür sorgen, dass die Daten u.a. keine versteckte Diskriminierung enthalten. Die Auswahl erfolgt durch einen Mensch, womit wieder die Unberechenbarkeit bzw. Fehleranfälligkeit menschlicher Entscheidungen mit durchschwingen kann.",['Z.P2'],"[(0, 598)]"
150,20230720_141536_151006,2,user,Okay,['OTHER'],"[(0, 4)]"
151,20230720_141536_151006,3,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI entscheidet objektiv und emotionslos. |   Das kann ich nachvollziehen. Andererseits: Zum Fußball gehört die partielle Unberechenbarkeit von Schiri-Entscheidungen. Durch eine SchiriKI wird das Spiel verändert.",['Z.P2'],"[(0, 369)]"
152,20230720_141536_151006,4,user,Aber das könnte ja zum Vorteil eines Teams sein,['Z.P2'],"[(0, 47)]"
153,20230720_141536_151006,5,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI kann Entscheidungen durch Bilder erklären. |   Das verstehe ich. Diese Überprüfbarkeit und Nachvollziehbarkeit stößt allerdings an ihre Grenzen, sobald es nur um subtile Regelverstöße geht.",['Z.P7'],"[(0, 349)]"
154,20230720_141536_151006,6,user,Ja,['CONSENT'],"[(0, 2)]"
155,20230720_141536_151006,7,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI bemerkt alle Regelverstöße, auch ohne Ballkontakt. |   Das mag sein. Auch ein menschlicher Schiedsrichter ist nicht völlig auf sich allein gestellt. Ihm stehen unterstützende Schiedsrichter und Technologien zur Seite.",['Z.P8'],"[(0, 377)]"
156,20230720_141536_151006,8,user,Ja genau,['CONSENT'],"[(0, 8)]"
157,20230720_141536_151006,9,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI ist modern. |   Das ist möglich. Befürworter traditionellen Handelns könnten sich vom Fußball abwenden und damit zu einem Rückgang an Werbe- und Spendeneinnahmen führen.",['Z.P11'],"[(0, 329)]"
158,20230720_105440_406313,0,user,Es ist keine lebenswichtige Entscheidung und die Zuschauer hätten womöglich mehr Spaß wenn das Spiel flüssiger läuft,['Z.P6'],"[(0, 116)]"
159,20230720_105440_406313,1,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Keines der genannten Argumente trifft zu. |    Wir werden dein Argument evaluieren und in einer neuen Version berücksichtigen. Bitte fahre mit deinem nächsten Argument fort.",['NoneOfTheAbove'],"[(0, 319)]"
160,20230720_105440_406313,2,user,Die zuschauer hätten mehr spaß wenn das Spiel flüssiger läuft,['Z.P6'],"[(0, 61)]"
161,20230720_105440_406313,3,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI entscheidet sofort. |   Das verstehe ich. Die Entscheidungen der menschlichen Schiedsrichter erfolgt ebenfalls innerhalb weniger Sekunden.",['Z.P6'],"[(0, 298)]"
162,20230720_105440_406313,4,user,Der Sport ist eine gute Möglichkeit den Einsatz von KI ohne große Risiken zu testen,['Z.P1-3-1'],"[(0, 83)]"
163,20230720_105440_406313,5,bot,"Kurz zusammengefasst, Eine SchiriKI kann nicht eingeschüchtert werden. Das kann ich nachvollziehen. Andererseits: Auch menschliche Schiedsrichter lassen sich nicht einschüchtern und sind es gewohnt, wenn erhitzte Spieler ihre Entscheidung angreifen.","['intro_24', 'Z.P4', 'intro_49', 'Z.P4-1']","[(0, 22), (22, 71), (71, 114), (114, 250)]"
164,20230720_105440_406313,6,user,Das war nicht das was ich gemeint habe,['OTHER'],"[(0, 38)]"
165,20230720_105440_406313,7,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Keines der genannten Argumente trifft zu. |    Wir werden dein Argument evaluieren und in einer neuen Version berücksichtigen. Bitte fahre mit deinem nächsten Argument fort.",['NoneOfTheAbove'],"[(0, 319)]"
166,20230720_105440_406313,8,user,Es gibt weniger aggresive Situationen auf dem Platz,['Z.P3'],"[(0, 51)]"
167,20230720_105440_406313,9,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI kann nicht eingeschüchtert werden. |   Das kann ich nachvollziehen.  Um auch noch einmal eine andere Seite zu beleuchten: Eine SchiriKI funktioniert nicht bei schlechter Sicht. Sie kann durch Nebelkerzen und ähnliches verwirrt werden, dann müsste das Spiel unterbrochen oder sogar abgebrochen werden.",['Z.P4'],"[(0, 459)]"
168,20230720_105440_406313,10,user,Eine KI ist vielleicht objektiver in der Entscheidung,['Z.P2'],"[(0, 54)]"
169,20230720_105440_406313,11,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI entscheidet objektiv und emotionslos. |   Das kann ich nachvollziehen. Direkt dazu: Da eine SchiriKI von ihrer Datengrundlage abhängig ist, ist sie entscheidend von der menschlichen Auswahl der Daten geprägt. Diese muss dafür sorgen, dass die Daten u.a. keine versteckte Diskriminierung enthalten. Die Auswahl erfolgt durch einen Mensch, womit wieder die Unberechenbarkeit bzw. Fehleranfälligkeit menschlicher Entscheidungen mit durchschwingen kann.",['Z.P2'],"[(0, 609)]"
170,20230720_105440_406313,12,user,"Eine KI hat keine Motivation, die davon abweicht wofür sie programmiert wurde",['Z.P4-1-1'],"[(0, 77)]"
171,20230720_105440_406313,13,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Keines der genannten Argumente trifft zu. |    Wir werden dein Argument evaluieren und in einer neuen Version berücksichtigen. Bitte fahre mit deinem nächsten Argument fort.",['NoneOfTheAbove'],"[(0, 319)]"
172,20230720_114817_523664,0,user,Eine gute KI würde meiner Meinung nach weniger Fehlentscheidungen treffen als normale Schiedsrichter,['Z.P3-3-1'],"[(0, 100)]"
173,20230720_114817_523664,1,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI kann Entscheidungen durch Bilder erklären. |   Das ist möglich. Diese Überprüfbarkeit und Nachvollziehbarkeit stößt allerdings an ihre Grenzen, sobald es nur um subtile Regelverstöße geht.",['Z.P7'],"[(0, 348)]"
174,20230720_114817_523664,2,user,Das ist natürlich richtig,['CONSENT'],"[(0, 25)]"
175,20230720_114817_523664,3,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI bemerkt alle Regelverstöße, auch ohne Ballkontakt. |   Das verstehe ich. Auch ein menschlicher Schiedsrichter ist nicht völlig auf sich allein gestellt. Ihm stehen unterstützende Schiedsrichter und Technologien zur Seite.",['Z.P8'],"[(0, 381)]"
176,20230720_114817_523664,4,user,Aber sie helfen ja offensichtlich nicht immer,['DISSENT'],"[(0, 45)]"
