Unnamed: 0,dialogue,utterance_id,utterance_type,utterance_text,labels,bounds
177,20230720_114817_523664,5,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI entscheidet objektiv und emotionslos. |   Das ist ein gutes Argument. Andererseits: Da eine SchiriKI von ihrer Datengrundlage abhängig ist, ist sie entscheidend von der menschlichen Auswahl der Daten geprägt. Diese muss dafür sorgen, dass die Daten u.a. keine versteckte Diskriminierung enthalten. Die Auswahl erfolgt durch einen Mensch, womit wieder die Unberechenbarkeit bzw. Fehleranfälligkeit menschlicher Entscheidungen mit durchschwingen kann.",['Z.P2'],"[(0, 609)]"
178,20230720_114817_523664,6,user,Die KI muss natürlich von vielen verschiedenen Gremien erstellt und Fehler nach und nach verbessert werden,['Z.K1-1'],"[(0, 106)]"
179,20230720_114817_523664,7,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI kann nicht eingeschüchtert werden. |   Das verstehe ich. Direkt dazu: Auch menschliche Schiedsrichter lassen sich nicht einschüchtern und sind es gewohnt, wenn erhitzte Spieler ihre Entscheidung angreifen.",['Z.P4'],"[(0, 365)]"
180,20230720_114817_523664,8,user,Aber sie lassen sich auch manchmal durch Emotionen leiten,['Z.P2'],"[(0, 57)]"
181,20230720_114817_523664,9,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | eine SchiriKI wäre nicht bestechlich. |   Da gebe ich dir recht.  Um auch noch einmal eine andere Seite zu beleuchten: Eine SchiriKI funktioniert nicht bei schlechter Sicht. Sie kann durch Nebelkerzen und ähnliches verwirrt werden, dann müsste das Spiel unterbrochen oder sogar abgebrochen werden.",['Z.P-4-1-1'],"[(0, 442)]"
182,20230720_114817_523664,10,user,Das ist natürlich ein gutes Gegenargument,['CONSENT'],"[(0, 41)]"
183,20230720_114817_523664,11,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | viele Kameras haben vermutlich bessere Sicht, als ein Mensch. |   Ich denke damit liegst du richtig.  Aber zu beachten ist: Eine SchiriKI kann aufgrund technischer Ausfälle oder Störungen fehlschlagen und falsche Entscheidungen treffen.",['Z.K3-2'],"[(0, 380)]"
184,20230720_114817_523664,12,user,"Stimmt, die Anfälligkeit für technische Störungen ist natürlich problematisch",['CONSENT'],"[(0, 77)]"
185,20230720_114817_523664,13,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Ich stimme deiner Argumentation zu. |   Schön, dass du mein Argument gut findest.   Aber hast Du schon einmal daran gedacht: Zum Fußball gehört die partielle Unberechenbarkeit von Schiri-Entscheidungen. Durch eine SchiriKI wird das Spiel verändert und die Emotionalität reduziert, die zum Reiz des Spieles beiträgt.",['OTHER'],"[(0, 459)]"
186,20230720_105737_383186,0,user,Ki hat keine subjektive Meinung,['Z.P2'],"[(0, 32)]"
187,20230720_105737_383186,1,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI entscheidet objektiv und emotionslos. |   Das ist ein gutes Argument. Andererseits: Da eine SchiriKI von ihrer Datengrundlage abhängig ist, ist sie entscheidend von der menschlichen Auswahl der Daten geprägt. Diese muss dafür sorgen, dass die Daten u.a. keine versteckte Diskriminierung enthalten. Die Auswahl erfolgt durch einen Mensch, womit wieder die Unberechenbarkeit bzw. Fehleranfälligkeit menschlicher Entscheidungen mit durchschwingen kann.",['Z.P2'],"[(0, 609)]"
188,20230720_105737_383186,2,user,Aber er beurteilt auf der Grundlage von vorherigen Situationen,['Z.K1-1'],"[(0, 63)]"
189,20230720_105737_383186,3,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI bemerkt alle Regelverstöße, auch ohne Ballkontakt. |   Das verstehe ich. Auch ein menschlicher Schiedsrichter ist nicht völlig auf sich allein gestellt. Ihm stehen unterstützende Schiedsrichter und Technologien zur Seite.",['Z.P8'],"[(0, 381)]"
190,20230720_105737_383186,4,user,Is mir egal,['OTHER'],"[(0, 12)]"
191,20230720_105737_383186,5,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Keines der genannten Argumente trifft zu. |    Wir werden dein Argument evaluieren und in einer neuen Version berücksichtigen. Bitte fahre mit deinem nächsten Argument fort.",['NoneOfTheAbove'],"[(0, 319)]"
192,20230720_105737_383186,6,user,Was macht er bei Protesten?,['OTHER'],"[(0, 27)]"
193,20230720_105737_383186,7,bot,"Dein Argument ist, dass Eine SchiriKI in ähnlichen Situationen gleich entscheidet. Das kann ich nachvollziehen. Direkt dazu: Man kann die Schuld bei einem verlorenen Spiel nicht mehr auf den Schiri schieben.","['intro_25', 'Z.P1', 'intro_48', 'Z.P1-2']","[(0, 24), (24, 83), (83, 125), (125, 208)]"
194,20230720_114745_715578,0,user,Der Schiedsrichter fungiert auch als streitschlichter und kann gewisse Situationen nicht entschärfen oder richtig wahrnehmen,['Z.P3-4'],"[(0, 125)]"
195,20230720_114745_715578,1,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Einer SchiriKI fehlt die menschliche Intuition. |   Das ist ein gutes Argument. Direkt dazu: Eine SchiriKI kann die menschliche Erfahrung durch das Training mit Daten in Form des überwachten Lernens nutzen. Daraus entwickelt sich eine ganz eigene Art von Intuition.",['Z.K5'],"[(0, 411)]"
196,20230720_120106_749693,0,user,"KI kann unparteiisch und exakter Entscheidung treffen, die auch immer ohne Widerspruch zu vorherigen Entscheidungen sind","['Z.P2', 'Z.P1']","[(0, 54), (54, 120)]"
197,20230720_120106_749693,1,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI entscheidet in ähnlichen Situationen gleich. |   Das ist ein gutes Argument. Andererseits: Man kann die Schuld bei einem verlorenen Spiel nicht mehr auf den Schiri schieben.",['Z.P1'],"[(0, 333)]"
198,20230720_120106_749693,2,user,"Und das ist auch jetzt schon kein Argument, bei einem guten Schiri ist die Schuld allein bei den Spielern zu suchen",['DISSENT'],"[(0, 115)]"
199,20230720_120106_749693,3,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Keines der genannten Argumente trifft zu. |    Wir werden dein Argument evaluieren und in einer neuen Version berücksichtigen. Bitte fahre mit deinem nächsten Argument fort.",['NoneOfTheAbove'],"[(0, 319)]"
200,20230720_125939_072947,0,user,Augenmaß von Menschen,['Z.K5'],"[(0, 21)]"
201,20230720_125939_072947,1,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Einer SchiriKI fehlt die menschliche Intuition. |   Das ist ein gutes Argument. Direkt dazu: Eine SchiriKI kann die menschliche Erfahrung durch das Training mit Daten in Form des überwachten Lernens nutzen. Daraus entwickelt sich eine ganz eigene Art von Intuition.",['Z.K5'],"[(0, 411)]"
202,20230720_125939_072947,2,user,Fehler gehören zum Spiel,['Z.P2-1'],"[(0, 25)]"
203,20230720_125939_072947,3,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI ist eine Black Box und kann nicht erklären. |   Das verstehe ich. Die BlackBox-Problematik trifft hier nicht zu. Die SchiriKI muss nur die entscheidende Szene und zur Begründung ähnliche Referenzszenen zeigen (z.B. bei Handspiel oder Festhalten des Gegners usw.).",['Z.K7'],"[(0, 423)]"
204,20230720_125939_072947,4,user,KI hat keine Autorität,['Z.K9'],"[(0, 23)]"
205,20230720_125939_072947,5,bot,"Du merkst an, dass Eine Schiri-KI keine Autorität auf dem Platz hat. Das verstehe ich. Im Szenario ist ein Schiedsrichter bzw. eine Schiedsrichterin auf dem Platz vorgesehen, der oder die die Entscheidungen der Schiri-KI kommuniziert.","['intro_28', 'Z.K9', 'intro_1', 'Z.K9.1']","[(0, 19), (19, 69), (69, 87), (87, 235)]"
206,20230720_125939_072947,6,user,KI kann keine Handspielregel verstehen,['Z.K5'],"[(0, 39)]"
207,20230720_125939_072947,7,bot,"Kurz zusammengefasst, Einer SchiriKI fehlt die menschliche Intuition. Das kann ich nachvollziehen. Ansprechen möchte ich noch: Eine SchiriKI trifft konsistente regelkonforme Entscheidungen und entscheidet in ähnlichen Situationen gleich.","['intro_24', 'Z.K5', 'intro_53', 'z_trans_11', 'Z.P1']","[(0, 22), (22, 70), (70, 99), (99, 127), (127, 238)]"
208,20230720_125939_072947,8,user,KI versteht spielsituationen nicht wie ein Mensch,['Z.K5'],"[(0, 50)]"
209,20230720_125939_072947,9,bot,"Du argumentierst, dass Einer SchiriKI die menschliche Intuition fehlt. Das verstehe ich. Aber hast Du schon einmal daran gedacht: Aufgrund der objektiven und nachvollziehbaren Entscheidungen der SchiriKI wird es zu weniger Diskussionen und Protesten auf dem Spielfeld kommen.","['intro_26', 'Z.K5', 'intro_54', 'z_trans_2', 'Z.P3']","[(0, 23), (23, 71), (71, 89), (89, 130), (130, 276)]"
210,20230720_125939_072947,10,user,KI führt zu mehr spielfluss,['Z.P6'],"[(0, 28)]"
211,20230720_125939_072947,11,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI kann gezielt getäuscht werden. |   Das ist möglich. Eine SchiriKI wird ständig nachtrainiert, so dass sie auch gezielte Täuschungen schnell lernt.",['Z.K2'],"[(0, 306)]"
212,20230720_142046_502777,0,user,Neutrale Entscheidungsmöglichkeit,['Z.P2'],"[(0, 33)]"
213,20230720_142046_502777,1,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI entscheidet objektiv und emotionslos. |   Das ist ein gutes Argument. Direkt dazu: Da eine SchiriKI von ihrer Datengrundlage abhängig ist, ist sie entscheidend von der menschlichen Auswahl der Daten geprägt. Diese muss dafür sorgen, dass die Daten u.a. keine versteckte Diskriminierung enthalten. Die Auswahl erfolgt durch einen Mensch, womit wieder die Unberechenbarkeit bzw. Fehleranfälligkeit menschlicher Entscheidungen mit durchschwingen kann.",['Z.P2'],"[(0, 608)]"
214,20230720_142046_502777,2,user,Faire Bewertung,['Z.P5'],"[(0, 16)]"
215,20230720_142046_502777,3,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI entscheidet in ähnlichen Situationen gleich. |   Das verstehe ich. Direkt dazu: Man kann die Schuld bei einem verlorenen Spiel nicht mehr auf den Schiri schieben.",['Z.P1'],"[(0, 322)]"
216,20230720_142046_502777,4,user,"Eine Schiri-KI entscheidet unabhängig von den äußeren Umständen (Fans, Stadionort,…) neutral und somit fair für alle Parteien.",['Z.P5'],"[(0, 126)]"
217,20230720_142046_502777,5,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI entscheidet in ähnlichen Situationen gleich. |   Das kann ich nachvollziehen. Andererseits: Die SchiriKI könnte genauso wie ein menschlicher Schiedsrichter zum Sündenbock werden. Dies kann dem Ansehen und der Vertrauenswürdigkeit von Künstlicher Intelligenz bzw. Systemen Künstlicher Intelligenz langfristig Schaden zufügen.",['Z.P1'],"[(0, 484)]"
218,20230720_141527_007883,0,user,"Ki sieht nur das was vorgefallen ist, aber nicht aus welchem Grund etwas passiert ist",['Z.K5'],"[(0, 85)]"
219,20230720_141527_007883,1,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI entscheidet objektiv und emotionslos. |   Das verstehe ich. Direkt dazu: Da eine SchiriKI von ihrer Datengrundlage abhängig ist, ist sie entscheidend von der menschlichen Auswahl der Daten geprägt. Diese muss dafür sorgen, dass die Daten u.a. keine versteckte Diskriminierung enthalten. Die Auswahl erfolgt durch einen Mensch, womit wieder die Unberechenbarkeit bzw. Fehleranfälligkeit menschlicher Entscheidungen mit durchschwingen kann.",['Z.P2'],"[(0, 598)]"
220,20230720_141527_007883,2,user,Technische Ausfälle,['Z.K4'],"[(0, 19)]"
221,20230720_141527_007883,3,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI reduziert die Abhängigkeit von Schiedsrichtern |   Ich denke damit liegst du richtig.  Aber zu beachten ist: Eine SchiriKI funktioniert nicht bei schlechter Sicht. Sie kann durch Nebelkerzen und ähnliches verwirrt werden, dann müsste das Spiel unterbrochen oder sogar abgebrochen werden.",['Z.P10'],"[(0, 446)]"
222,20230720_141527_007883,4,user,Modern,['Z.P11'],"[(0, 6)]"
223,20230720_141527_007883,5,bot,"Dein Argument ist, dass Eine SchiriKI modern ist. Das verstehe ich. Befürworter traditionellen Handelns könnten sich vom Fußball abwenden und damit zu einem Rückgang an Werbe- und Spendeneinnahmen führen.","['intro_25', 'Z.P11', 'intro_1', 'Z.P11-1']","[(0, 24), (24, 50), (50, 68), (68, 205)]"
224,20230720_141527_007883,6,user,Sehen bilder,['OTHER'],"[(0, 12)]"
225,20230720_141527_007883,7,bot,"Mit anderen Worten, Eine SchiriKI kann Entscheidungen durch Bilder erklären. Das verstehe ich. Diese Überprüfbarkeit und Nachvollziehbarkeit stößt allerdings an ihre Grenzen, sobald es nur um subtile Regelverstöße geht.","['intro_32', 'Z.P7', 'intro_1', 'Z.P7-1']","[(0, 20), (20, 77), (77, 95), (95, 220)]"
226,20230720_141527_007883,8,user,Können objektiv,['Z.P2'],"[(0, 15)]"
227,20230720_141527_007883,9,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI kann nicht eingeschüchtert werden. |   Das kann ich nachvollziehen. Direkt dazu: Auch menschliche Schiedsrichter lassen sich nicht einschüchtern und sind es gewohnt, wenn erhitzte Spieler ihre Entscheidung angreifen.",['Z.P4'],"[(0, 376)]"
228,20230720_141527_007883,10,user,Cool,['OTHER'],"[(0, 4)]"
229,20230720_141527_007883,11,bot,"Dein Argument ist, dass Eine SchiriKI modern ist. Ich denke damit liegst du richtig. Aber hast Du schon einmal daran gedacht: Zum Fußball gehört die partielle Unberechenbarkeit von Schiri-Entscheidungen. Durch eine SchiriKI wird das Spiel verändert und die Emotionalität reduziert, die zum Reiz des Spieles beiträgt.","['intro_25', 'Z.P11', 'intro_5', 'z_trans_2', 'Z.K8']","[(0, 24), (24, 50), (50, 85), (85, 126), (126, 317)]"
230,20230720_130953_845758,0,user,"Genauigkeit, KI kann auf ein Regelwerk zurückgreifen und wird nicht von Voreingenommenheit beeinflusst",['Z.P2'],"[(0, 102)]"
231,20230720_130953_845758,1,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI kann Entscheidungen durch Bilder erklären. |   Das verstehe ich. Diese Überprüfbarkeit und Nachvollziehbarkeit stößt allerdings an ihre Grenzen, sobald es nur um subtile Regelverstöße geht.",['Z.P7'],"[(0, 349)]"
232,20230720_130953_845758,2,user,Aber würde auch weniger Haß ernten,['Z.P3'],"[(0, 35)]"
233,20230720_130953_845758,3,bot,"Du sagst, dass Es gibt weniger Proteste gegen Entscheidungen der SchiriKI. Das mag sein. Eine SchiriKI reduziert die Emotionalität im Spiel, was den Reiz von Fußball ausmacht.","['intro_27', 'Z.P3', 'intro_3', 'Z.P3-1']","[(0, 15), (15, 75), (75, 89), (89, 177)]"
234,20230720_130953_845758,4,user,Das ist nicht der Reit von Fussball,['DISSENT'],"[(0, 35)]"
235,20230720_130953_845758,5,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Ich finde deine Argumentation nicht überzeugend. |   Schade, dass dich meine Argumentation nicht überzeugt.  Aber hast Du schon einmal daran gedacht: Eine SchiriKI funktioniert nicht bei schlechter Sicht. Sie kann durch Nebelkerzen und ähnliches verwirrt werden, dann müsste das Spiel unterbrochen oder sogar abgebrochen werden.",['OTHER'],"[(0, 473)]"
236,20230720_130953_845758,6,user,Stimmt,['CONSENT'],"[(0, 6)]"
237,20230720_130953_845758,7,bot,"Du merkst an, dass Eine SchiriKI in ähnlichen Situationen gleich entscheidet. Das verstehe ich. Direkt dazu: Man kann die Schuld bei einem verlorenen Spiel nicht mehr auf den Schiri schieben.","['intro_28', 'Z.P1', 'intro_51', 'Z.P1-2']","[(0, 19), (19, 78), (78, 109), (109, 192)]"
238,20230720_115044_615689,0,user,KI kann keine Streitsituationen entschärfen,['Z.K9'],"[(0, 44)]"
239,20230720_115044_615689,1,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Einer SchiriKI fehlt die menschliche Intuition. |   Das ist ein gutes Argument. Andererseits: Eine SchiriKI kann die menschliche Erfahrung durch das Training mit Daten in Form des überwachten Lernens nutzen. Daraus entwickelt sich eine ganz eigene Art von Intuition.",['Z.K5'],"[(0, 412)]"
240,20230720_115044_615689,2,user,Wenn sich 2 Spieler auf dem Platz streiten kann die ki nicht physisch dazwischen gehen,['Z.P3-4'],"[(0, 86)]"
241,20230720_115044_615689,3,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI kann keine Verantwortung übernehmen. |   Das verstehe ich. Direkt dazu: Verantwortung und Gewissen sind für die Tätigkeit als Schiedsrichter nicht erforderlich. Es geht um die Einhaltung der Spielregeln. Das Einsehen eigenen Unrechts und die Übernahme von Verantwortung ist bei der Darstellung von Fakten nicht notwendig.",['Z.K6'],"[(0, 481)]"
242,20230720_115044_615689,4,user,Durch eine ki wird der Fußball noch mehr kommerzialisiert und weniger menschlich,['Z.P2-1'],"[(0, 80)]"
243,20230720_115044_615689,5,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Zum Fußball gehört die Unberechenbarkeit auch der Schiedsrichter. |   Das mag sein. Das ist ein Widerspruch in sich, wenn man einerseits Schiedsrichter für Fehlentscheidungen beschimpft, aber andererseits den Zustand nicht verbessern will.",['Z.K8'],"[(0, 385)]"
244,20230720_115044_615689,6,user,Wenn man eine ki will kann man auch Fifa schauen,['OTHER'],"[(0, 48)]"
245,20230720_115044_615689,7,bot,"Du meinst also, dass Zum Fußball die Unberechenbarkeit auch der Schiedsrichter gehört. Ich denke damit liegst du richtig. Ansprechen möchte ich noch: Eine SchiriKI trifft konsistente regelkonforme Entscheidungen und entscheidet in ähnlichen Situationen gleich.","['intro_23', 'Z.K8', 'intro_5', 'z_trans_11', 'Z.P1']","[(0, 21), (21, 87), (87, 122), (122, 150), (150, 261)]"
246,20230720_115044_615689,8,user,Die ki kann auch ausfallen,['Z.K4'],"[(0, 26)]"
247,20230720_115044_615689,9,bot,"Du argumentierst, dass Eine SchiriKI wegen technische Störungen ausfallen kann. Das verstehe ich. Fällt die SchiriKI aus, wird dies der ""Autoritätsperson"" innerhalb kurzer Zeit auffallen, wenn nicht sowieso bereits das System der SchiriKI über eine eingeschränkte Nutzung informiert.","['intro_26', 'Z.K4', 'intro_1', 'Z.K4-1']","[(0, 23), (23, 80), (80, 98), (98, 284)]"
248,20230720_115044_615689,10,user,Beim videobeweis sieht man dass ki nicht immer jede Situation richtig einsehen kann weil es beispielsweise auch nicht genügend Kameras gibt oder die Kamera durch den Spieler verdeckt ist,['Z.K3'],"[(0, 186)]"
249,20230720_115044_615689,11,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI funktioniert nicht bei schlechter Sicht. |   Das mag sein. Das ist wahrscheinlich korrekt. Aber unter diesen Umständen müsste ein Spiel auch ohne SchiriKI unterbrochen oder abgebrochen werden.",['Z.K3'],"[(0, 353)]"
250,20230720_115044_615689,12,user,Eine ki kann nicht erkennen ob sich die Spieler vorher schon aggressiv verhalten haben,['Z.K5'],"[(0, 86)]"
251,20230720_115044_615689,13,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Einer SchiriKI fehlt die menschliche Intuition. |   Das verstehe ich.  Aber hast Du schon einmal daran gedacht: Aufgrund der objektiven und nachvollziehbaren Entscheidungen der SchiriKI wird es zu weniger Diskussionen und Protesten auf dem Spielfeld kommen.",['Z.K5'],"[(0, 401)]"
252,20230720_115044_615689,14,user,Eine ki kann Rassistisch sein,['Z.P2-2'],"[(0, 29)]"
253,20230720_115044_615689,15,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | die Zuschauer können weniger diskutieren. |   Das ist möglich. Die Aufregung über Fehlentscheidungen von menschlichen Schiedsrichtern kann der Freude am Sport und besonderen Momenten des Spiels weichen.",['Z.P3-2'],"[(0, 348)]"
254,20230720_130325_018682,0,user,Falsche Entscheidungen einer KI im Fußball kann keine großen Schaden anrichten,['Z.P1-3-1'],"[(0, 78)]"
255,20230720_130325_018682,1,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI ist modern. |   Das verstehe ich. Befürworter traditionellen Handelns könnten sich vom Fußball abwenden und damit zu einem Rückgang an Werbe- und Spendeneinnahmen führen.",['Z.P11'],"[(0, 330)]"
256,20230720_130325_018682,2,user,"Die meiaten Zuschauer sind nicht sehr begeistert von den Schiris, ich denke der wechsel zur KI wäre nicht so schlimm",['Z.P2'],"[(0, 116)]"
257,20230720_130325_018682,3,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI entscheidet objektiv und emotionslos. |   Das ist ein gutes Argument. Andererseits: Da eine SchiriKI von ihrer Datengrundlage abhängig ist, ist sie entscheidend von der menschlichen Auswahl der Daten geprägt. Diese muss dafür sorgen, dass die Daten u.a. keine versteckte Diskriminierung enthalten. Die Auswahl erfolgt durch einen Mensch, womit wieder die Unberechenbarkeit bzw. Fehleranfälligkeit menschlicher Entscheidungen mit durchschwingen kann.",['Z.P2'],"[(0, 609)]"
258,20230720_130325_018682,4,user,"Aber wenn ein menschlichet Schiri entscheidet, kann er ja auch vorurteilsbehaftet handeln",['Z.P2'],"[(0, 89)]"
259,20230720_130325_018682,5,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI entscheidet objektiv und emotionslos. |   Das kann ich nachvollziehen. Direkt dazu: Zum Fußball gehört die partielle Unberechenbarkeit von Schiri-Entscheidungen. Durch eine SchiriKI wird das Spiel verändert.",['Z.P2'],"[(0, 368)]"
260,20230720_130325_018682,6,user,Durch einen normalen Schiri wird das Spiel auch verändert,['OTHER'],"[(0, 57)]"
261,20230720_130325_018682,7,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI reduziert die Abhängigkeit von Schiedsrichtern |   Ich denke damit liegst du richtig.  Aber zu beachten ist: Eine SchiriKI funktioniert nicht bei schlechter Sicht. Sie kann durch Nebelkerzen und ähnliches verwirrt werden, dann müsste das Spiel unterbrochen oder sogar abgebrochen werden.",['Z.P10'],"[(0, 446)]"
262,20230720_130325_018682,8,user,Bei den meisten Profi-Fußballspielen ist gutes Wetter,['OTHER'],"[(0, 53)]"
263,20230720_130325_018682,9,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI reduziert die Abhängigkeit von Schiedsrichtern |   Da gebe ich dir recht.  Ansprechen möchte ich noch: Zum Fußball gehört die partielle Unberechenbarkeit von Schiri-Entscheidungen. Durch eine SchiriKI wird das Spiel verändert und die Emotionalität reduziert, die zum Reiz des Spieles beiträgt.",['Z.P10'],"[(0, 451)]"
264,20230720_130325_018682,10,user,"Ja, aber oft sind die Emotionen nicht positiv",['Z.P3'],"[(0, 45)]"
265,20230720_130325_018682,11,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI kann nicht eingeschüchtert werden. |   Das verstehe ich. Andererseits: Auch menschliche Schiedsrichter lassen sich nicht einschüchtern und sind es gewohnt, wenn erhitzte Spieler ihre Entscheidung angreifen.",['Z.P4'],"[(0, 366)]"
266,20230720_130325_018682,12,user,Eine KI wird jedoch nicht emotional belastet,['Z.P2'],"[(0, 44)]"
267,20230720_130325_018682,13,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI kann nicht eingeschüchtert werden. |   Das kann ich nachvollziehen.  Aber hast Du schon einmal daran gedacht: Eine SchiriKI funktioniert nicht gut genug, insbesondere bei subtilen Variationen eines Regelverstoßes.",['Z.P4'],"[(0, 371)]"
268,20230720_130325_018682,14,user,Das erkennen normale schiris teils auch nicht,['OTHER'],"[(0, 45)]"
269,20230720_130325_018682,15,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI kann nicht eingeschüchtert werden. |   Das kann ich nachvollziehen.  Ansprechen möchte ich noch: Eine SchiriKI kann gezielt getäuscht werden, wenn die Spieler die Schemata kennen.",['Z.P4'],"[(0, 337)]"
